2026-04-24 11:06:20,842 | INFO | __main__ | Frontend service listening on 127.0.0.1:8080
2026-04-24 11:16:56,174 | INFO | __main__ | Frontend service listening on 127.0.0.1:8080
2026-04-24 11:44:38,501 | INFO | __main__ | Frontend service listening on 127.0.0.1:8080
2026-04-24 12:09:02,540 | INFO | __main__ | Frontend service listening on 127.0.0.1:8080
2026-04-24 12:13:21,574 | INFO | __main__ | Frontend service listening on 127.0.0.1:8080
2026-04-24 15:11:37,372 | INFO | __main__ | Frontend service listening on 127.0.0.1:8080
2026-04-24 15:17:44,063 | INFO | __main__ | Frontend service listening on 127.0.0.1:8080
2026-04-24 15:24:14,128 | INFO | __main__ | Frontend service listening on 127.0.0.1:8080
2026-04-24 15:26:16,219 | INFO | __main__ | Frontend service listening on 127.0.0.1:8080
2026-04-24 17:40:57,142 | INFO | __main__ | Frontend service listening on 127.0.0.1:8080
2026-04-24 17:53:47,014 | INFO | __main__ | Frontend service listening on 127.0.0.1:8080
2026-04-24 19:06:41,977 | INFO | __main__ | Frontend service listening on 127.0.0.1:8080
2026-04-28 10:56:29,844 | INFO | __main__ | Frontend service listening on 127.0.0.1:8080
2026-05-20 12:55:37,409 | INFO | __main__ | Frontend service listening on 127.0.0.1:8080
2026-05-20 14:30:54,963 | INFO | __main__ | Frontend service listening on 127.0.0.1:8080
